,Country_Region,Confirmed,Deaths
195,Dominican Republic,660790,4384
196,Ecuador,1057121,36014
197,Egypt,515759,24812
198,El Salvador,201785,4230
199,Equatorial Guinea,17229,183
200,Eritrea,10189,103
201,Estonia,615433,2946
202,Eswatini,74267,1425
203,Ethiopia,500116,7572
204,Fiji,68898,883
205,Finland,1463644,8967
206,France,98041,413
207,France,78055,649
208,France,201886,1010
209,France,229020,1092
210,France,42004,187
211,France,80017,314
212,France,494595,921
213,France,5441,6
214,France,3452,2
215,France,12271,63
216,France,3427,7
217,France,38618509,161512
218,Gabon,48981,306
219,Gambia,12598,372
220,Georgia,1827537,16971
221,Germany,5063979,19297
222,Germany,6741523,28680
223,Germany,1430661,5564
224,Germany,1113946,6506
225,Germany,303612,968
226,Germany,807013,3614
227,Germany,2928587,12436
228,Germany,711570,2770
229,Germany,3860773,13718
230,Germany,8048396,31400
231,Germany,1769913,6971
232,Germany,492792,2132
233,Germany,1955828,16814
234,Germany,961147,6286
235,Germany,1175406,3481
236,Germany,883914,8298
237,Germany,0,0
238,Ghana,171229,1462
239,Greece,5548487,34779
240,Grenada,19680,238
241,Guatemala,1238247,20182
242,Guinea,38267,467
243,Guinea-Bissau,8960,176
244,Guyana,73075,1298
245,Haiti,34202,860
246,Holy See,29,0
247,Honduras,472250,11111
248,Hungary,2196804,48762
249,Iceland,209137,263
250,India,10751,129
251,India,2339096,14733
252,India,66891,296
253,India,746100,8035
254,India,851427,12303
255,India,99370,1182
256,India,1177804,14146
257,India,11591,4
258,India,2007605,26523
259,India,259167,4013
260,India,1277848,11046
261,India,1056770,10714
262,India,312820,4213
263,India,479513,4785
264,India,442579,5331
265,India,4074536,40312
266,India,6831358,71589
267,India,29425,231
268,India,11415,52
269,India,1054978,10777
270,India,8138129,148424
271,India,139924,2149
272,India,96788,1625
273,India,238969,726
274,India,35988,782
275,India,1336717,9205
276,India,175872,1975
277,India,785724,19289
278,India,1315637,9656
279,India,44325,500
280,India,3595123,38049
281,India,841897,4111
282,India,108034,940
283,India,0,0
284,India,2128222,23648
285,India,449488,7753
286,India,2118857,21533
287,Indonesia,6738225,160941
288,Iran,7572311,144933
289,Iraq,2465545,25375
290,Ireland,1704502,8708
291,Israel,4803824,12329
292,Italy,651674,3931
293,Italy,199646,1021
294,Italy,631613,3347
295,Italy,2444797,11791
296,Italy,2136671,19283
297,Italy,575033,5998
298,Italy,2385069,12787
299,Italy,661284,5880
300,Italy,4118413,45558
301,Italy,714100,4399
302,Italy,101826,719
303,Italy,293808,1610
304,Italy,243951,1647
305,Italy,1719738,13828
306,Italy,1626850,9646
307,Italy,509829,2923
308,Italy,1817733,12692
309,Italy,1589964,11574
310,Italy,438301,2449
311,Italy,50448,567
312,Italy,2692762,16672
313,Jamaica,154416,3514
314,Japan,2100094,4285
315,Japan,199130,588
316,Japan,277922,640
317,Japan,1456535,3874
318,Japan,314430,683
319,Japan,198871,196
320,Japan,1579850,3164
321,Japan,401096,826
322,Japan,538509,1102
323,Japan,437760,1077
324,Japan,796053,1346
325,Japan,1333535,4532
326,Japan,1461481,3796
327,Japan,634322,1279
328,Japan,277113,501
329,Japan,233500,609
330,Japan,251256,613
331,Japan,439610,877
332,Japan,2207465,4249
333,Japan,168352,584
334,Japan,532492,1292
335,Japan,674377,1645
336,Japan,457736,1038
337,Japan,534019,938
338,Japan,318969,773
339,Japan,454729,861
340,Japan,335188,635
341,Japan,344394,855
342,Japan,452535,431
343,Japan,301877,762
344,Japan,488838,838
345,Japan,576111,926
346,Japan,2818795,8401
347,Japan,22118,8
348,Japan,260131,489
349,Japan,1790744,3892
350,Japan,372032,669
351,Japan,166928,296
352,Japan,862305,1375
353,Japan,419841,1058
354,Japan,165538,411
355,Japan,4323708,7998
356,Japan,140744,260
357,Japan,235567,312
358,Japan,173,0
359,Japan,237568,516
360,Japan,224910,355
361,Japan,311938,741
362,Japan,189249,401
363,Jordan,1746997,14122
364,Kazakhstan,1498668,19071
365,Kenya,342937,5688
366,Kiribati,5014,18
367,"Korea, North",1,6
368,"Korea, South",30615522,34093
369,Kosovo,273312,3211
370,Kuwait,663860,2570
371,Kyrgyzstan,206708,2991
372,Laos,218023,758
373,Latvia,976255,6269
374,Lebanon,1232828,10841
375,Lesotho,34790,723
376,Liberia,8090,295
377,Libya,507187,6437
378,Liechtenstein,21432,89
379,Lithuania,1307448,9596
380,Luxembourg,317367,1220
381,MS Zaandam,9,2
382,Madagascar,67889,1423
383,Malawi,88707,2686
384,Malaysia,398660,4715
385,Malaysia,318825,2740
386,Malaysia,260181,1424
387,Malaysia,145426,1203
388,Malaysia,231174,1537
389,Malaysia,182784,1032
390,Malaysia,239281,2125
391,Malaysia,19014,198
392,Malaysia,307725,2064
393,Malaysia,406937,3202
394,Malaysia,324659,1788
395,Malaysia,1551065,10985
396,Malaysia,133075,899
397,Malaysia,0,0
398,Malaysia,470285,2865
399,Malaysia,22981,158
400,Malaysia,32646,32
401,Maldives,185738,311
402,Mali,33062,743
403,Malta,117610,828
404,Marshall Islands,15649,17
405,Mauritania,63668,997
406,Mauritius,296042,1044
407,Mexico,90837,3630
408,Mexico,175704,12508
409,Mexico,128552,2780
410,Mexico,44242,2298
411,Mexico,57462,2453
412,Mexico,172643,10239
413,Mexico,1858660,44044
414,Mexico,187173,9039
415,Mexico,70936,2255
416,Mexico,81548,3696
417,Mexico,368546,15219
418,Mexico,119037,6879
419,Mexico,127406,8647
420,Mexico,296024,20146
421,Mexico,743439,48238
422,Mexico,115872,9037
423,Mexico,99708,5461
424,Mexico,76268,3274
425,Mexico,422027,15503
426,Mexico,157238,6404
427,Mexico,221279,16748
428,Mexico,185519,6426
429,Mexico,120075,4459
430,Mexico,252685,7666
431,Mexico,182235,9972
432,Mexico,201304,10349
433,Mexico,221468,6182
434,Mexico,183092,8329
435,Mexico,60467,3142
436,Mexico,0,0
437,Mexico,235708,17162
438,Mexico,142925,7010
439,Mexico,83365,3993
440,Micronesia,23948,61
441,Moldova,611140,12003
442,Monaco,16121,67
443,Mongolia,1007900,2136
444,Montenegro,288808,2808
445,Morocco,1272490,16296
446,Mozambique,233214,2242
447,Namibia,171156,4090
448,Nauru,5247,1
449,Nepal,1001154,12020
450,Netherlands,44044,282
451,Netherlands,11804,41
452,Netherlands,45986,301
453,Netherlands,216395,464
454,Netherlands,195741,341
455,Netherlands,292969,624
456,Netherlands,1053625,2952
457,Netherlands,263961,368
458,Netherlands,566571,2209
459,Netherlands,1305321,3783
460,Netherlands,1414184,3508
461,Netherlands,599261,1459
462,Netherlands,11020,91
463,Netherlands,0,2
464,Netherlands,708169,1581
465,Netherlands,180656,402
466,Netherlands,1803128,5299
467,New Zealand,7031,2
468,New Zealand,792,0
469,New Zealand,2228291,2548
470,Nicaragua,15655,245
471,Niger,9508,315
472,Nigeria,266598,3155
473,North Macedonia,346852,9662
474,Norway,1479506,5213
475,Oman,399449,4628
476,Pakistan,44343,793
477,Pakistan,36047,378
478,Pakistan,12095,191
479,Pakistan,139844,1031
480,Pakistan,225115,6376
481,Pakistan,524161,13618
482,Pakistan,595806,8257
483,Palau,5991,9
484,Panama,1031731,8609
485,Papua New Guinea,46825,670
486,Paraguay,808401,19878
487,Peru,51138,1409
488,Peru,159243,7382
489,Peru,46163,1694
490,Peru,291043,10600
491,Peru,55696,2407
492,Peru,111937,4605
493,Peru,170402,10884
494,Peru,146229,5287
495,Peru,30172,1300
496,Peru,60660,2976
497,Peru,130224,9114
498,Peru,155282,7614
499,Peru,181814,11027
500,Peru,129893,9486
501,Peru,2110001,96723
502,Peru,64716,4471
503,Peru,21303,888
504,Peru,64321,1718
505,Peru,29033,1140
506,Peru,181347,13228
507,Peru,78232,4843
